Number,Country,Total_Cases,New_Cases,Total_Deths,New_Death,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Total_Cases_per_million,Total_death_per_million,Total_Tests,Tests_per_million,Population
1,USA,98232353,0,1084803,0,95042116,0,2105434,2970,293401,3240,1118468562,3340654,334805269
2,India,44591112,0,528655,0,44024164,0,38293,698,31701,376,895054503,636310,1406631776
3,France,35391211,0,155112,0,34546598,0,689501,869,539628,2365,271490188,4139547,65584518
4,Brazil,34715149,0,686097,0,33853693,0,175359,8318,161201,3186,63776166,296146,215353593
5,Germany,33386229,0,150064,0,32327200,12000,908965,1406,398007,1789,122332384,1458359,83883596
6,UK,23672855,0,190317,0,23351316,130,131222,146,345600,2778,522526476,7628357,68497907
7,Italy,22467278,0,177092,0,21848242,0,441944,136,372822,2939,246819554,4095722,60262770
8,Japan,21265862,0,44789,0,20380089,0,840984,178,169335,357,76201407,606772,125584838
9,Russia,20985756,0,387269,0,20040988,0,557499,2300,143929,2656,273400000,1875095,145805947
10,Turkey,16873793,0,101139,0,16757359,3058,15295,975,197211,1182,162743369,1902052,85561976
11,Spain,13422984,0,114179,0,13225964,0,82841,339,287312,2444,471036328,10082298,46719142
12,Vietnam,11479356,0,43148,0,10591865,0,844343,107,116008,436,85826548,867342,98953541
13,Argentina,9708420,0,129897,0,9564476,1128,14047,294,211006,2823,35716069,776264,46010234
14,Netherlands,8430861,0,22650,0,8363657,0,44554,45,489840,1316,21107399,1226358,17211447
15,Iran,7548648,0,144426,0,7325651,0,78571,151,87752,1679,54095556,628851,86022837
16,Mexico,7089209,1397,330112,11,6357838,1284,401259,4798,53885,2509,18393211,139806,131562772
17,Taiwan,6461400,0,11053,0,5638952,0,811395,0,270481,463,26060690,1090926,23888595
18,Indonesia,6431624,0,158112,0,6255918,0,17594,2771,23041,566,108723455,389502,279134505
19,Colombia,6307372,0,141794,0,6134690,0,30888,342,122443,2753,36572720,709974,51512762
20,Poland,6293558,0,117569,0,5335940,0,840049,3086,166762,3115,37350807,989693,37739785
21,Portugal,5493540,0,25031,0,5397443,0,71066,61,541739,2468,44988307,4436467,10140570
22,Ukraine,5177217,0,109206,0,4976963,3409,91048,177,119865,2528,19521252,451963,43192122
23,Austria,5131527,0,20743,0,5011540,0,99244,47,565975,2288,197642565,21798708,9066710
24,Greece,4920192,0,33111,0,4842104,5201,44977,115,476918,3209,94139966,9125063,10316637
25,Malaysia,4840879,0,36374,0,4778736,0,25769,42,145893,1096,64636273,1947986,33181072
